Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Flow Bytes/s,Flow Packets/s,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Subflow Fwd Packets,Subflow Bwd Packets,Subflow Fwd Bytes,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Prediction
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0
8080,0,1,1,32834,32834,32834,1,32834,32834,1,1,1,1,32834,32834,0,0,1,0,0
35260,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0
8080,0,1,1,32834,32834,32834,1,32834,32834,1,1,1,1,32834,32834,0,0,1,0,0
35260,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0
8080,0,1,1,32834,32834,32834,1,32834,32834,1,1,1,1,32834,32834,0,0,1,0,0
35260,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0
8080,0,1,1,790,790,790,1,790,790,1,1,1,1,790,790,0,0,1,0,0
8080,0,1,1,69,69,69,1,69,69,1,1,1,1,69,69,0,0,1,0,0
35272,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0
8080,0,1,1,32834,32834,32834,1,32834,32834,1,1,1,1,32834,32834,0,0,1,0,0
35260,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0
35272,0,1,1,351,351,351,1,351,351,1,1,1,1,351,351,0,0,1,0,0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0
8080,0,1,1,32834,32834,32834,1,32834,32834,1,1,1,1,32834,32834,0,0,1,0,0
35260,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0
8080,0,1,1,687,687,687,1,687,687,1,1,1,1,687,687,0,0,1,0,0
35272,0,1,1,1838,1838,1838,1,1838,1838,1,1,1,1,1838,1838,0,0,1,0,0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0
8080,0,1,1,32834,32834,32834,1,32834,32834,1,1,1,1,32834,32834,0,0,1,0,0
35260,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0
8080,0,1,1,32834,32834,32834,1,32834,32834,1,1,1,1,32834,32834,0,0,1,0,0
35260,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0
8080,0,1,1,637,637,637,1,637,637,1,1,1,1,637,637,0,0,1,0,0
35272,0,1,1,628,628,628,1,628,628,1,1,1,1,628,628,0,0,1,0,0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0
6000,0,1,1,173,173,173,1,173,173,1,1,1,1,173,173,0,0,1,0,0.0
52208,0,1,1,4162,4162,4162,1,4162,4162,1,1,1,1,4162,4162,0,0,1,0,0.0
6000,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
52208,0,1,1,5851,5851,5851,1,5851,5851,1,1,1,1,5851,5851,0,0,1,0,0.0
6000,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
52208,0,1,1,73,73,73,1,73,73,1,1,1,1,73,73,0,0,1,0,0.0
6000,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,184,184,184,1,184,184,1,1,1,1,184,184,0,0,1,0,0.0
56834,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
56834,0,1,1,6777,6777,6777,1,6777,6777,1,1,1,1,6777,6777,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
56834,0,1,1,71,71,71,1,71,71,1,1,1,1,71,71,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
56834,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,638,638,638,1,638,638,1,1,1,1,638,638,0,0,1,0,0.0
44930,0,1,1,3365,3365,3365,1,3365,3365,1,1,1,1,3365,3365,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
44930,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
44930,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,74,74,74,1,74,74,1,1,1,1,74,74,0,0,1,0,0.0
44936,0,1,1,74,74,74,1,74,74,1,1,1,1,74,74,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,687,687,687,1,687,687,1,1,1,1,687,687,0,0,1,0,0.0
44936,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
44936,0,1,1,2576,2576,2576,1,2576,2576,1,1,1,1,2576,2576,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,687,687,687,1,687,687,1,1,1,1,687,687,0,0,1,0,0.0
44936,0,1,1,2705,2705,2705,1,2705,2705,1,1,1,1,2705,2705,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,792,792,792,1,792,792,1,1,1,1,792,792,0,0,1,0,0.0
8080,0,1,1,436,436,436,1,436,436,1,1,1,1,436,436,0,0,1,0,0.0
44936,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
44936,0,1,1,351,351,351,1,351,351,1,1,1,1,351,351,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,791,791,791,1,791,791,1,1,1,1,791,791,0,0,1,0,0.0
8080,0,1,1,121,121,121,1,121,121,1,1,1,1,121,121,0,0,1,0,0.0
44936,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
44936,0,1,1,351,351,351,1,351,351,1,1,1,1,351,351,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,687,687,687,1,687,687,1,1,1,1,687,687,0,0,1,0,0.0
44936,0,1,1,991,991,991,1,991,991,1,1,1,1,991,991,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,687,687,687,1,687,687,1,1,1,1,687,687,0,0,1,0,0.0
44936,0,1,1,907,907,907,1,907,907,1,1,1,1,907,907,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,792,792,792,1,792,792,1,1,1,1,792,792,0,0,1,0,0.0
8080,0,1,1,268,268,268,1,268,268,1,1,1,1,268,268,0,0,1,0,0.0
44936,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
44936,0,1,1,351,351,351,1,351,351,1,1,1,1,351,351,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
39764,0,1,1,682,682,682,1,682,682,1,1,1,1,682,682,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,687,687,687,1,687,687,1,1,1,1,687,687,0,0,1,0,0.0
39764,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
39764,0,1,1,907,907,907,1,907,907,1,1,1,1,907,907,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,687,687,687,1,687,687,1,1,1,1,687,687,0,0,1,0,0.0
39764,0,1,1,923,923,923,1,923,923,1,1,1,1,923,923,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,687,687,687,1,687,687,1,1,1,1,687,687,0,0,1,0,0.0
39764,0,1,1,682,682,682,1,682,682,1,1,1,1,682,682,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,792,792,792,1,792,792,1,1,1,1,792,792,0,0,1,0,0.0
8080,0,1,1,225,225,225,1,225,225,1,1,1,1,225,225,0,0,1,0,0.0
39764,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
39764,0,1,1,351,351,351,1,351,351,1,1,1,1,351,351,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,687,687,687,1,687,687,1,1,1,1,687,687,0,0,1,0,0.0
39764,0,1,1,989,989,989,1,989,989,1,1,1,1,989,989,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,687,687,687,1,687,687,1,1,1,1,687,687,0,0,1,0,0.0
39764,0,1,1,927,927,927,1,927,927,1,1,1,1,927,927,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,687,687,687,1,687,687,1,1,1,1,687,687,0,0,1,0,0.0
39764,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
39764,0,1,1,1158,1158,1158,1,1158,1158,1,1,1,1,1158,1158,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,687,687,687,1,687,687,1,1,1,1,687,687,0,0,1,0,0.0
39764,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
39764,0,1,1,940,940,940,1,940,940,1,1,1,1,940,940,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,792,792,792,1,792,792,1,1,1,1,792,792,0,0,1,0,0.0
8080,0,1,1,225,225,225,1,225,225,1,1,1,1,225,225,0,0,1,0,0.0
39764,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
39764,0,1,1,351,351,351,1,351,351,1,1,1,1,351,351,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,687,687,687,1,687,687,1,1,1,1,687,687,0,0,1,0,0.0
39764,0,1,1,987,987,987,1,987,987,1,1,1,1,987,987,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,687,687,687,1,687,687,1,1,1,1,687,687,0,0,1,0,0.0
39764,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,687,687,687,1,687,687,1,1,1,1,687,687,0,0,1,0,0.0
44936,0,1,1,915,915,915,1,915,915,1,1,1,1,915,915,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
39764,0,1,1,1156,1156,1156,1,1156,1156,1,1,1,1,1156,1156,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,790,790,790,1,790,790,1,1,1,1,790,790,0,0,1,0,0.0
39764,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,69,69,69,1,69,69,1,1,1,1,69,69,0,0,1,0,0.0
39764,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
47446,0,1,1,296,296,296,1,296,296,1,1,1,1,296,296,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
39764,0,1,1,351,351,351,1,351,351,1,1,1,1,351,351,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
39764,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,687,687,687,1,687,687,1,1,1,1,687,687,0,0,1,0,0.0
47446,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
47446,0,1,1,916,916,916,1,916,916,1,1,1,1,916,916,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,792,792,792,1,792,792,1,1,1,1,792,792,0,0,1,0,0.0
8080,0,1,1,230,230,230,1,230,230,1,1,1,1,230,230,0,0,1,0,0.0
47446,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
47446,0,1,1,351,351,351,1,351,351,1,1,1,1,351,351,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,687,687,687,1,687,687,1,1,1,1,687,687,0,0,1,0,0.0
47446,0,1,1,989,989,989,1,989,989,1,1,1,1,989,989,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,687,687,687,1,687,687,1,1,1,1,687,687,0,0,1,0,0.0
47446,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,687,687,687,1,687,687,1,1,1,1,687,687,0,0,1,0,0.0
44936,0,1,1,515,515,515,1,515,515,1,1,1,1,515,515,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,687,687,687,1,687,687,1,1,1,1,687,687,0,0,1,0,0.0
44936,0,1,1,1025,1025,1025,1,1025,1025,1,1,1,1,1025,1025,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,790,790,790,1,790,790,1,1,1,1,790,790,0,0,1,0,0.0
8080,0,1,1,69,69,69,1,69,69,1,1,1,1,69,69,0,0,1,0,0.0
44936,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
44936,0,1,1,351,351,351,1,351,351,1,1,1,1,351,351,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
47446,0,1,1,1414,1414,1414,1,1414,1414,1,1,1,1,1414,1414,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,790,790,790,1,790,790,1,1,1,1,790,790,0,0,1,0,0.0
47446,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,69,69,69,1,69,69,1,1,1,1,69,69,0,0,1,0,0.0
47446,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
39772,0,1,1,296,296,296,1,296,296,1,1,1,1,296,296,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
47446,0,1,1,351,351,351,1,351,351,1,1,1,1,351,351,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
47446,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,687,687,687,1,687,687,1,1,1,1,687,687,0,0,1,0,0.0
39772,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
39772,0,1,1,1029,1029,1029,1,1029,1029,1,1,1,1,1029,1029,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,687,687,687,1,687,687,1,1,1,1,687,687,0,0,1,0,0.0
39772,0,1,1,1416,1416,1416,1,1416,1416,1,1,1,1,1416,1416,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,687,687,687,1,687,687,1,1,1,1,687,687,0,0,1,0,0.0
39772,0,1,1,997,997,997,1,997,997,1,1,1,1,997,997,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,687,687,687,1,687,687,1,1,1,1,687,687,0,0,1,0,0.0
39772,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,637,637,637,1,637,637,1,1,1,1,637,637,0,0,1,0,0.0
44936,0,1,1,628,628,628,1,628,628,1,1,1,1,628,628,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
44936,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,74,74,74,1,74,74,1,1,1,1,74,74,0,0,1,0,0.0
55660,0,1,1,74,74,74,1,74,74,1,1,1,1,74,74,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,687,687,687,1,687,687,1,1,1,1,687,687,0,0,1,0,0.0
55660,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,74,74,74,1,74,74,1,1,1,1,74,74,0,0,1,0,0.0
55672,0,1,1,74,74,74,1,74,74,1,1,1,1,74,74,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,687,687,687,1,687,687,1,1,1,1,687,687,0,0,1,0,0.0
55672,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
55672,0,1,1,967,967,967,1,967,967,1,1,1,1,967,967,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
39772,0,1,1,1377,1377,1377,1,1377,1377,1,1,1,1,1377,1377,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,687,687,687,1,687,687,1,1,1,1,687,687,0,0,1,0,0.0
39772,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
39772,0,1,1,1025,1025,1025,1,1025,1025,1,1,1,1,1025,1025,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,687,687,687,1,687,687,1,1,1,1,687,687,0,0,1,0,0.0
39772,0,1,1,1377,1377,1377,1,1377,1377,1,1,1,1,1377,1377,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,687,687,687,1,687,687,1,1,1,1,687,687,0,0,1,0,0.0
39772,0,1,1,1025,1025,1025,1,1025,1025,1,1,1,1,1025,1025,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,687,687,687,1,687,687,1,1,1,1,687,687,0,0,1,0,0.0
39772,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
39772,0,1,1,1127,1127,1127,1,1127,1127,1,1,1,1,1127,1127,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,687,687,687,1,687,687,1,1,1,1,687,687,0,0,1,0,0.0
39772,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
39772,0,1,1,1127,1127,1127,1,1127,1127,1,1,1,1,1127,1127,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,687,687,687,1,687,687,1,1,1,1,687,687,0,0,1,0,0.0
39772,0,1,1,983,983,983,1,983,983,1,1,1,1,983,983,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,687,687,687,1,687,687,1,1,1,1,687,687,0,0,1,0,0.0
39772,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,687,687,687,1,687,687,1,1,1,1,687,687,0,0,1,0,0.0
55672,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
39772,0,1,1,1393,1393,1393,1,1393,1393,1,1,1,1,1393,1393,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
55672,0,1,1,1393,1393,1393,1,1393,1393,1,1,1,1,1393,1393,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,687,687,687,1,687,687,1,1,1,1,687,687,0,0,1,0,0.0
39772,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
39772,0,1,1,993,993,993,1,993,993,1,1,1,1,993,993,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,687,687,687,1,687,687,1,1,1,1,687,687,0,0,1,0,0.0
39772,0,1,1,911,911,911,1,911,911,1,1,1,1,911,911,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,687,687,687,1,687,687,1,1,1,1,687,687,0,0,1,0,0.0
39772,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,687,687,687,1,687,687,1,1,1,1,687,687,0,0,1,0,0.0
55672,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,74,74,74,1,74,74,1,1,1,1,74,74,0,0,1,0,0.0
55676,0,1,1,74,74,74,1,74,74,1,1,1,1,74,74,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,687,687,687,1,687,687,1,1,1,1,687,687,0,0,1,0,0.0
55676,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
55676,0,1,1,901,901,901,1,901,901,1,1,1,1,901,901,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,687,687,687,1,687,687,1,1,1,1,687,687,0,0,1,0,0.0
55676,0,1,1,901,901,901,1,901,901,1,1,1,1,901,901,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
55672,0,1,1,1127,1127,1127,1,1127,1127,1,1,1,1,1127,1127,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
39772,0,1,1,1127,1127,1127,1,1127,1127,1,1,1,1,1127,1127,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
55672,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,687,687,687,1,687,687,1,1,1,1,687,687,0,0,1,0,0.0
39772,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
39772,0,1,1,977,977,977,1,977,977,1,1,1,1,977,977,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,687,687,687,1,687,687,1,1,1,1,687,687,0,0,1,0,0.0
39772,0,1,1,1018,1018,1018,1,1018,1018,1,1,1,1,1018,1018,0,0,1,0,0.0
8080,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,687,687,687,1,687,687,1,1,1,1,687,687,0,0,1,0,0.0
39772,0,1,1,66,66,66,1,66,66,1,1,1,1,66,66,0,0,1,0,0.0
8080,0,1,1,687,687,687,1,687,687,1,1,1,1,687,687,0,0,1,0,0.0
